CountryName,CountryCode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Europe & Central Asia (excluding high income),ECA,0.008396295,0.013071236,0.019148966,0.028062038,0.062636816,0.161259246,0.314893302,0.692778318,1.442931128,3.214429215,6.650761597,10.28485683,15.47125562,23.6541812,39.50588977,60.9353949,80.21752083,94.73271651,108.0201627,117.891357,122.4429212,119.3221924,121.7697096,126.0283513,127.5431703,128.8272493,128.9926049
Europe & Central Asia,ECS,0.41460206,0.56439764,0.744279956,1.102596262,1.793815607,2.844323023,4.475722921,7.183478351,12.26972622,21.31433246,34.11230295,41.98483842,47.62051596,55.08667549,66.08459731,80.95371758,94.45858616,106.1699188,114.8874864,119.2738141,120.1242905,120.3142925,122.5584295,125.1819269,125.203626,125.1487025,125.1085847
Ecuador,ECU,0,0,0,0,0.170828212,0.480566995,0.517246854,1.072140872,2.0163,3.118622576,3.847519769,6.722172021,11.97894159,18.05870507,26.19668978,45.33840899,60.50592352,69.66428675,80.51374955,89.7355484,98.53115831,100.5655994,106.2255329,105.6444776,103.8991648,79.77343461,84.30334065
"Egypt, Arab Rep.",EGY,0.007100178,0.007841417,0.008416892,0.011595444,0.012237709,0.012045436,0.011861838,0.103619882,0.141666208,0.738848579,2.056199148,4.157181333,6.580539155,8.349882145,10.82720009,18.98863599,24.66217297,40.54135052,54.69017202,72.09666743,90.50319174,105.0794228,119.9164442,121.507893,114.3059858,110.9915544,113.6982662
Euro area,EMU,0.43921127,0.717345166,1.040500327,1.607702684,2.510037075,4.112697867,7.176675149,12.56794687,21.92606542,37.72004984,59.13683998,71.55463763,76.3100702,82.2609956,88.91628388,97.89774368,105.909897,115.8908435,121.2387822,120.4248399,116.4766491,119.4058708,120.7307928,121.6782785,119.9582971,119.2679262,119.0727502
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428676577,0.833074787,1.23129209,1.619011387,2.018352101,2.539273454,3.227135845,4.077954414,4.979397878,5.602975462,6.38599695,7.04995255,7.294370822
Spain,ESP,0.140678283,0.278272537,0.461351559,0.656329161,1.047842335,2.397111579,7.586339439,10.95273284,16.20300377,37.56120588,60.23673164,72.76287627,81.09707953,88.58520439,90.42919646,98.40193058,103.7617236,108.4148248,109.6808813,111.5801838,111.275767,113.0635394,108.3640175,106.8867146,107.9458995,108.1965621,109.7403864
Estonia,EST,0,0.036792424,0.164001155,0.484397233,0.943535167,2.12493964,4.920277348,10.32159425,17.82710022,28.13023353,40.77249606,48.00416351,65.37189261,78.40820096,94.27919527,109.0700258,125.7645616,128.0786178,124.2110004,120.5357013,127.2827876,139.5193349,154.9259439,149.7317151,147.8107077,148.6880842,148.67534
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0.01050517,0.026894684,0.040466846,0.072008853,0.071293566,0.209993373,0.539116292,1.107028759,1.5023463,2.36564857,4.775809745,7.869542323,15.80285822,22.37451927,27.25468539,31.59388039,42.76402881,50.5130341
European Union,EUU,0.647364268,0.888126745,1.180231257,1.773740827,2.896976353,4.554784521,7.188605675,11.51535492,19.70766382,33.92040977,53.5884582,64.82275077,70.9473107,77.90593795,85.95296178,95.80342435,105.0255772,115.1694166,120.5537904,120.4607987,118.1126517,120.8167558,122.6815424,123.7926059,122.4154127,121.3146159,121.0749117
Fragile and conflict affected situations,FCS,0,0,0.000734126,0.00269425,0.004637836,0.047492217,0.080504205,0.153897652,0.225383311,0.377122948,0.592901165,0.983678521,1.522154087,2.499683476,4.206640832,6.65407283,12.71456909,18.92320826,25.88142579,32.231038,38.09449155,44.92062058,50.59866777,58.50005725,67.63361281,71.8768336,69.19995068
Finland,FIN,5.171190195,6.370787129,7.666908049,9.664672185,13.28153215,20.34240794,29.30153817,42.06724499,55.22721773,63.37991163,72.03009689,80.48036651,86.85667387,91.05950591,95.40312987,100.450445,107.6347185,114.8847345,128.424569,144.0887946,156.3055115,165.8909009,172.3224293,136.578674,139.6638962,135.4468526,134.4753788
Fiji,FJI,0,0,0,0,0.143666151,0.283656121,0.471549627,0.655656678,0.999230592,2.897663403,6.783367646,9.934086167,11.01395796,13.44576273,17.36152235,24.92449701,34.37685675,63.44901555,71.10259987,75.07516314,81.10077287,83.76338399,98.17854865,105.6001544,98.77670015,108.2021715,103.3027513
France,FRA,0.498190672,0.656765549,0.761609496,0.993573197,1.527885256,2.24533597,4.230263986,9.958005642,19.11826072,36.39293613,49.06407866,62.07543084,64.25770241,68.89744917,73.01991391,78.26189586,83.53432024,88.98459991,92.67718212,92.09659575,91.38732973,94.0767743,97.37775287,98.49547248,101.2124157,102.6131585,103.4526224
Faroe Islands,FRO,0,3.008674415,3.688278231,3.52654245,4.393732207,5.800585047,7.410685914,10.5847387,14.46392897,23.50179086,36.50383945,51.95077968,72.7461205,78.71574066,84.65827559,85.50562483,101.1150686,105.2770715,110.6026088,114.9052419,119.8967346,118.0097274,118.6159253,116.7417979,117.8366357,107.5096978,109.8794063
"Micronesia, Fed. Sts.",FSM,0,0,0,0,0,0,0,0,0,0,0,0,0.093472795,5.494495207,11.99343186,13.27143637,17.61444278,26.10540739,26.31629313,26.4466307,26.55690559,26.68626238,30.18811355,30.31704797,,21.54413173,22.24735117
Gabon,GAB,0,0,0.028032995,0.117009358,0.245162295,0.370206862,0.613332035,0.835229451,0.831015195,0.743444999,9.791705935,11.94934434,21.72917519,22.79947105,36.32676997,53.40403707,63.55598776,80.76618018,87.6694296,95.44779828,103.4556766,148.6936289,156.6686186,164.2167217,171.375053,161.1213232,144.1660721
United Kingdom,GBR,1.947059624,2.196366801,2.619945977,3.932425055,6.812778164,9.889762431,12.46095848,15.15254531,25.41757307,46.28415293,73.70811816,78.20217751,82.83088603,90.88455695,99.50619762,108.5920211,115.6002598,121.1018108,122.1864624,123.9547246,123.6254863,123.6041988,124.7618169,124.6098071,123.5810846,124.1322156,122.3202721
Georgia,GEO,0,0,0,0,0,0.002960248,0.046091288,0.609447781,1.234098639,2.773981786,4.105349723,6.435462135,10.8965115,15.58014589,18.61778229,26.23972528,38.32379074,58.73630305,62.43820399,64.46125996,90.64792691,101.2829241,107.809112,115.0251043,124.9355401,128.9505963,129.0941061
Ghana,GHA,0,0,0.002585366,0.010950971,0.020417059,0.036990796,0.074354288,0.12446167,0.232363487,0.380901054,0.690808845,1.263629537,1.954760936,3.918536618,8.135148478,13.44255251,23.72559884,33.75729429,50.0664665,63.77348397,71.86671124,85.27494343,100.9932997,108.1911482,114.8194789,129.7359971,139.1290239
Gibraltar,GIB,0,0,0,0,0,2.41891149,3.673020528,5.948446794,8.991945864,13.40437259,20.32101203,35.47324209,43.46599028,55.96029986,63.86998194,68.77579092,75.2342521,81.9000819,88.74931731,97.72098268,102.5535842,111.0655458,118.6735879,,129.5380944,141.176671,155.6751234
Guinea,GIN,0,0,0,0.000588556,0.010806418,0.012121718,0.011736,0.034568886,0.255012846,0.292782939,0.481493068,0.625832387,1.003476993,1.211353347,1.651452655,1.973615991,,19.90650512,26.66103586,32.936074,36.7781157,43.54770359,48.76925037,63.31503903,72.09875075,87.17366364,85.33367045
"Gambia, The",GMB,0,0,0.020823423,0.04532642,0.078334523,0.135304285,0.282499795,0.420058457,0.435446069,0.444791613,0.455705803,4.348732248,7.653059272,11.07116691,12.57243519,17.22725782,27.27777463,52.33214725,73.90036908,80.62692375,87.9633354,80.76025697,85.20375721,99.9766937,119.6304887,137.8457028,139.6287262
